Date,Tenor,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y
20241231,Receive,2.87,2.74,2.72,2.72,2.73,2.75,2.78,2.80,2.74,2.58
20241231,Mid,2.86,2.73,2.71,2.72,2.72,2.74,2.77,2.79,2.73,2.58
20241231,Pay,2.85,2.72,2.70,2.70,2.71,2.73,2.76,2.78,2.72,2.56
20250331,Receive,2.67,2.58,2.56,2.57,2.58,2.61,2.64,2.66,2.62,2.51
20250331,Mid,2.66,2.57,2.55,2.56,2.57,2.60,2.63,2.65,2.61,2.50
20250331,Pay,2.65,2.56,2.54,2.55,2.56,2.59,2.62,2.64,2.60,2.49
20250630,Receive,2.45,2.40,2.42,2.46,2.49,2.56,2.63,2.66,2.64,2.53
20250630,Mid,2.44,2.39,2.41,2.45,2.48,2.55,2.62,2.65,2.63,2.52
20250630,Pay,2.43,2.38,2.40,2.44,2.47,2.54,2.61,2.64,2.62,2.51
20250930,Receive,2.50,2.50,2.54,2.60,2.65,2.71,2.78,2.82,2.81,2.73
20250930,Mid,2.49,2.49,2.53,2.59,2.64,2.70,2.78,2.81,2.80,2.72
20250930,Pay,2.48,2.48,2.52,2.58,2.63,2.69,2.76,2.80,2.79,2.71
20251231,Receive,2.79,2.93,3.04,3.10,3.16,3.22,3.27,3.30,3.29,3.19
20251231,Mid,2.78,2.92,3.03,3.10,3.15,3.21,3.26,3.30,3.28,3.18
20251231,Pay,2.77,2.91,3.02,3.08,3.14,3.20,3.25,3.28,3.27,3.17
